geography_code,Claimants percentage
E14000811,2.546789860222696
E14000812,5.657835653345308
E14000813,2.627874237447208
E14000814,2.928571428571429
E14000815,3.015427769985975
E14000816,3.292967920118971
E14000817,2.196595277320154
E14000818,3.78317334839074
E14000819,6.193353474320242
E14000820,5.200239091452481
E14000821,5.2933009371745925
E14000822,4.6938775510204085
E14000823,7.028212541122521
E14000824,1.6933317762466429
E14000825,6.1237785016286646
E14000826,3.589970175632387
E14000827,3.4136287517712223
E14000828,2.4821594787465093
E14000829,3.4775048902412515
E14000830,2.445226917057903
E14000831,3.658771423069517
E14000832,1.6701531817261626
E14000833,3.918056643904623
E14000834,3.352205005959476
E14000835,3.4260655063724816
E14000836,6.352693924340848
E14000837,4.076952478022678
E14000838,4.226062823262268
E14000839,2.921005842011684
E14000840,5.192107995846314
E14000841,3.226446937357292
E14000842,4.773608091502032
E14000843,4.1462495288352805
E14000844,1.8474374255065555
E14000845,2.8925619834710745
E14000846,2.140974967061924
E14000847,2.827654460624912
E14000848,3.5121328224776502
E14000849,3.2683076294556224
E14000850,2.1351419241396634
E14000851,4.0991606480577785
E14000852,6.151546510290904
E14000853,5.766233766233767
E14000854,4.621948328987912
E14000855,4.764402482734504
E14000856,4.727226268046506
E14000857,2.664002664002664
E14000858,2.991541159480091
E14000859,4.822732012513034
E14000860,2.9940119760479043
E14000861,5.355191256830602
E14000862,5.348279993154201
E14000863,4.92354031510658
E14000864,2.977137402845325
E14000865,4.023799534688584
E14000866,8.914621817847625
E14000867,1.7382143797735057
E14000868,6.085417127683116
E14000869,2.827414612078715
E14000870,6.927896919954109
E14000871,8.326724821570181
E14000872,3.811369509043928
E14000873,1.468889255652748
E14000874,1.252152136484583
E14000875,7.10594315245478
E14000876,4.007311586051744
E14000877,1.839080459770115
E14000878,8.685930512555899
E14000879,5.4932981762250055
E14000880,3.759577404463904
E14000881,4.160228218233685
E14000882,6.827389586355224
E14000883,5.753621699373266
E14000884,2.7991073117222074
E14000885,4.813923347528236
E14000886,3.79746835443038
E14000887,4.126479069304962
E14000888,2.615233736515201
E14000889,2.56472150141814
E14000890,6.139302401390851
E14000891,6.560563722512453
E14000892,5.294547224926972
E14000893,2.40858331508649
E14000894,2.587043225180554
E14000895,3.0720338983050848
E14000896,1.7777777777777777
E14000897,7.121260343730109
E14000898,5.027500859401856
E14000899,6.904599824953807
E14000900,5.254531430775164
E14000901,1.6054360812425328
E14000902,5.875111906893465
E14000903,4.212834718374885
E14000904,8.275932970083273
E14000905,3.754230118443316
E14000906,3.323142363418849
E14000907,1.9284119358549292
E14000908,2.379333786539769
E14000909,2.8700056274620147
E14000910,2.192555057493666
E14000911,5.329670329670329
E14000912,3.135615364515286
E14000913,4.878048780487805
E14000914,6.311121219012963
E14000915,5.311995696611081
E14000916,2.948547840188707
E14000917,2.738990332975296
E14000918,2.3932253313696616
E14000919,1.7608773181169757
E14000920,6.975199291408327
E14000921,9.851575384081244
E14000922,1.5233184907429107
E14000923,7.5965273018048896
E14000924,5.045974433729536
E14000925,5.529124341005529
E14000926,3.7178560363523694
E14000927,5.75752590886659
E14000928,2.3474178403755865
E14000929,3.5089556928878185
E14000930,6.390923452534827
E14000931,3.849443969204448
E14000932,2.868516567146704
E14000933,5.709876543209877
E14000934,2.0764119601328903
E14000935,3.8786673296867233
E14000936,3.8102261553588983
E14000937,2.5906735751295336
E14000938,4.207476893364602
E14000939,3.9713182570325434
E14000940,3.069080316271328
E14000941,3.041698927109833
E14000942,2.7213529011565747
E14000943,2.923641366659023
E14000944,6.268020559107434
E14000945,3.6285293117133457
E14000946,2.6025529805428183
E14000947,5.118266746173723
E14000948,7.001422163877037
E14000949,4.650925074108147
E14000950,2.5910178049428647
E14000951,2.350776778413737
E14000952,3.793293018141836
E14000953,1.7618406052440667
E14000954,3.463403371045948
E14000955,3.6738978306508048
E14000956,3.552115364224367
E14000957,4.512163222600052
E14000958,3.691231705737599
E14000959,3.758094357076781
E14000960,3.2338590718257123
E14000961,4.443950672147539
E14000962,5.727950172394617
E14000963,6.963230137260795
E14000964,4.545454545454546
E14000965,3.6825327030889294
E14000966,3.048315805517452
E14000967,6.876886950687688
E14000968,4.375888852423149
E14000969,5.862237420615535
E14000970,8.489068034689142
E14000971,5.02083110778763
E14000972,6.489772447219256
E14000973,7.0186145865120535
E14000974,6.138522121843873
E14000975,2.3501762632197414
E14000976,5.15343171702975
E14000977,2.2020888385554294
E14000978,6.768433179723503
E14000979,5.576396633884214
E14000980,2.9165749504732554
E14000981,2.908079403211531
E14000982,4.750294266016479
E14000983,2.65794316090779
E14000984,3.0591834333451
E14000985,3.417796110783736
E14000986,4.667444574095683
E14000987,2.865761689291101
E14000988,3.2814183563522383
E14000989,6.897641112047177
E14000990,2.975206611570248
E14000991,1.907514450867052
E14000992,3.317790530846485
E14000993,2.1057847144803667
E14000994,3.3838657282079048
E14000995,6.712199717381065
E14000996,2.9357798165137616
E14000997,2.4215518111189587
E14000998,4.0778225410238775
E14000999,4.580432392817882
E14001000,3.645358677255565
E14001001,3.7037037037037033
E14001002,7.255501589014811
E14001003,2.5064683053040104
E14001004,2.46747420367878
E14001005,2.528256989886972
E14001006,4.431052818149593
E14001007,3.987495215005742
E14001008,4.755728491137051
E14001009,6.162649939473973
E14001010,6.641034603285564
E14001011,9.992386752950132
E14001012,7.510132718747517
E14001013,8.978215294868289
E14001014,5.715466189230133
E14001015,3.1684479334153037
E14001016,8.372884391510702
E14001017,4.141139096891309
E14001018,3.319664128099981
E14001019,2.555490654205608
E14001020,6.692279092824389
E14001021,4.411371535513768
E14001022,6.501950585175553
E14001023,2.5526151281516984
E14001024,4.671763135541803
E14001025,5.249975917541662
E14001026,2.702416278083934
E14001027,2.4482215218370107
E14001028,6.2858403176003526
E14001029,9.074971640713622
E14001030,8.939517776869636
E14001031,3.339140534262486
E14001032,6.207073077087156
E14001033,3.155653562466733
E14001034,2.7777777777777777
E14001035,3.3891547049441786
E14001036,3.5284504531273213
E14001037,1.4575235980011103
E14001038,4.573473851660371
E14001039,5.322819122720552
E14001040,2.6881720430107525
E14001041,1.4310461700685395
E14001042,2.063679245283019
E14001043,3.0984996738421398
E14001044,3.102836879432624
E14001045,3.635451924282312
E14001046,2.373759171342253
E14001047,3.061224489795918
E14001048,2.3013900395839086
E14001049,9.997814685314683
E14001050,8.936080740117747
E14001051,7.1082390953150245
E14001052,3.8264267687047138
E14001053,3.75
E14001054,6.7891373801916926
E14001055,4.868348875479978
